sale_id,date,year,month,week,product_id,product_name,is_new_product,region,channel,units_sold,unit_price,revenue,cogs,gross_profit,sessions,new_customers
32,2025-01-03,2025,1,1,P002,Dashboard Pro,0,East,Online,15,297.33,4459.95,1887.0,2572.95,195,3
33,2025-01-03,2025,1,1,P003,Data Connector Plus,0,East,Offline,23,151.05,3474.15,1354.47,2119.68,299,5
34,2025-01-03,2025,1,1,P001,Analytics Suite,0,West,Online,9,509.83,4588.47,1989.72,2598.75,81,1
35,2025-01-03,2025,1,1,P002,Dashboard Pro,0,West,Partner,14,298.33,4176.62,1772.26,2404.36,112,3
36,2025-01-03,2025,1,1,P003,Data Connector Plus,0,West,Partner,24,144.98,3479.52,1327.44,2152.08,336,4
37,2025-01-04,2025,1,1,P001,Analytics Suite,0,North,Online,7,491.11,3437.77,1379.84,2057.93,77,1
38,2025-01-04,2025,1,1,P002,Dashboard Pro,0,North,Partner,8,296.83,2374.64,1122.4,1252.24,80,2
39,2025-01-04,2025,1,1,P003,Data Connector Plus,0,North,Offline,14,150.76,2110.64,919.38,1191.26,196,3
40,2025-01-04,2025,1,1,P001,Analytics Suite,0,South,Partner,6,492.91,2957.46,1341.42,1616.04,72,1
41,2025-01-04,2025,1,1,P002,Dashboard Pro,0,South,Offline,9,290.93,2618.37,1134.09,1484.28,126,1
42,2025-01-04,2025,1,1,P003,Data Connector Plus,0,South,Online,15,152.14,2282.1,1021.35,1260.75,120,3
43,2025-01-04,2025,1,1,P001,Analytics Suite,0,East,Online,6,510.69,3064.14,1176.54,1887.6,72,1
44,2025-01-04,2025,1,1,P002,Dashboard Pro,0,East,Online,10,300.17,3001.7,1202.0,1799.7,100,2
45,2025-01-04,2025,1,1,P003,Data Connector Plus,0,East,Offline,14,148.07,2072.98,882.56,1190.42,140,3
46,2025-01-04,2025,1,1,P001,Analytics Suite,0,West,Offline,7,484.31,3390.17,1625.96,1764.21,84,1
47,2025-01-04,2025,1,1,P002,Dashboard Pro,0,West,Partner,9,294.79,2653.11,1241.46,1411.65,72,1
48,2025-01-04,2025,1,1,P003,Data Connector Plus,0,West,Offline,14,151.98,2127.72,1017.94,1109.78,168,3
49,2025-01-05,2025,1,1,P001,Analytics Suite,0,North,Offline,6,504.03,3024.18,1180.5,1843.68,78,1
50,2025-01-05,2025,1,1,P002,Dashboard Pro,0,North,Offline,9,305.99,2753.91,1121.49,1632.42,81,2
51,2025-01-05,2025,1,1,P003,Data Connector Plus,0,North,Offline,16,146.35,2341.6,1008.16,1333.44,160,3
52,2025-01-05,2025,1,1,P001,Analytics Suite,0,South,Offline,7,485.55,3398.85,1385.58,2013.27,98,1
53,2025-01-05,2025,1,1,P002,Dashboard Pro,0,South,Online,10,301.46,3014.6,1278.7,1735.9,130,2
54,2025-01-05,2025,1,1,P003,Data Connector Plus,0,South,Partner,15,145.53,2182.95,1026.9,1156.05,195,3
55,2025-01-05,2025,1,1,P001,Analytics Suite,0,East,Online,7,501.47,3510.29,1348.62,2161.67,63,1
56,2025-01-05,2025,1,1,P002,Dashboard Pro,0,East,Online,10,307.47,3074.7,1233.0,1841.7,100,2
57,2025-01-05,2025,1,1,P003,Data Connector Plus,0,East,Partner,13,151.5,1969.5,940.16,1029.34,143,3
58,2025-01-05,2025,1,1,P001,Analytics Suite,0,West,Online,7,491.12,3437.84,1585.08,1852.76,98,1
59,2025-01-05,2025,1,1,P002,Dashboard Pro,0,West,Online,8,303.24,2425.92,1116.48,1309.44,88,2
60,2025-01-05,2025,1,1,P003,Data Connector Plus,0,West,Offline,16,146.92,2350.72,983.2,1367.52,128,2
61,2025-01-06,2025,1,2,P001,Analytics Suite,0,North,Partner,10,490.01,4900.1,2011.6,2888.5,100,2
62,2025-01-06,2025,1,2,P002,Dashboard Pro,0,North,Online,14,290.45,4066.3,1658.44,2407.86,140,2
63,2025-01-06,2025,1,2,P003,Data Connector Plus,0,North,Offline,25,147.67,3691.75,1765.0,1926.75,325,5
64,2025-01-06,2025,1,2,P001,Analytics Suite,0,South,Partner,11,487.48,5362.28,2348.94,3013.34,99,3
65,2025-01-06,2025,1,2,P002,Dashboard Pro,0,South,Online,13,300.73,3909.49,1608.23,2301.26,182,3
66,2025-01-06,2025,1,2,P003,Data Connector Plus,0,South,Offline,23,147.97,3403.31,1308.47,2094.84,230,5
67,2025-01-06,2025,1,2,P001,Analytics Suite,0,East,Offline,10,508.18,5081.8,2305.6,2776.2,130,1
68,2025-01-06,2025,1,2,P002,Dashboard Pro,0,East,Partner,15,307.05,4605.75,1894.8,2710.95,180,3
69,2025-01-06,2025,1,2,P003,Data Connector Plus,0,East,Online,25,147.21,3680.25,1518.5,2161.75,275,6
70,2025-01-06,2025,1,2,P001,Analytics Suite,0,West,Offline,10,489.77,4897.7,2192.9,2704.8,110,2
71,2025-01-06,2025,1,2,P002,Dashboard Pro,0,West,Offline,15,295.43,4431.45,1818.6,2612.85,120,3
72,2025-01-06,2025,1,2,P003,Data Connector Plus,0,West,Online,25,149.95,3748.75,1590.25,2158.5,275,5
73,2025-01-07,2025,1,2,P001,Analytics Suite,0,North,Offline,10,511.01,5110.1,2278.5,2831.6,90,2
74,2025-01-07,2025,1,2,P002,Dashboard Pro,0,North,Online,15,301.14,4517.1,1822.65,2694.45,210,3
75,2025-01-07,2025,1,2,P003,Data Connector Plus,0,North,Online,25,145.85,3646.25,1608.5,2037.75,275,6
76,2025-01-07,2025,1,2,P001,Analytics Suite,0,South,Offline,10,510.56,5105.6,2295.7,2809.9,130,2
77,2025-01-07,2025,1,2,P002,Dashboard Pro,0,South,Online,14,301.8,4225.2,1969.1,2256.1,196,3
78,2025-01-07,2025,1,2,P003,Data Connector Plus,0,South,Offline,25,146.49,3662.25,1581.25,2081.0,325,4
79,2025-01-07,2025,1,2,P001,Analytics Suite,0,East,Offline,9,509.43,4584.87,1955.25,2629.62,126,2
80,2025-01-07,2025,1,2,P002,Dashboard Pro,0,East,Offline,15,295.72,4435.8,1957.35,2478.45,165,3
81,2025-01-07,2025,1,2,P003,Data Connector Plus,0,East,Offline,23,151.96,3495.08,1588.15,1906.93,207,5
82,2025-01-07,2025,1,2,P001,Analytics Suite,0,West,Offline,9,491.43,4422.87,2024.64,2398.23,126,2
83,2025-01-07,2025,1,2,P002,Dashboard Pro,0,West,Offline,14,297.92,4170.88,1698.2,2472.68,126,2
84,2025-01-07,2025,1,2,P003,Data Connector Plus,0,West,Online,24,145.77,3498.48,1382.88,2115.6,312,4
85,2025-01-08,2025,1,2,P001,Analytics Suite,0,North,Offline,9,493.94,4445.46,1781.19,2664.27,72,1
86,2025-01-08,2025,1,2,P002,Dashboard Pro,0,North,Offline,16,300.51,4808.16,2250.56,2557.6,224,3
87,2025-01-08,2025,1,2,P003,Data Connector Plus,0,North,Online,23,152.96,3518.08,1637.14,1880.94,253,6
88,2025-01-08,2025,1,2,P001,Analytics Suite,0,South,Offline,10,506.41,5064.1,2379.0,2685.1,120,2
89,2025-01-08,2025,1,2,P002,Dashboard Pro,0,South,Online,14,298.74,4182.36,1873.34,2309.02,182,3
90,2025-01-08,2025,1,2,P003,Data Connector Plus,0,South,Online,21,148.71,3122.91,1353.45,1769.46,252,5
91,2025-01-08,2025,1,2,P001,Analytics Suite,0,East,Online,10,503.88,5038.8,1983.1,3055.7,110,2
92,2025-01-08,2025,1,2,P002,Dashboard Pro,0,East,Online,13,296.83,3858.79,1596.53,2262.26,130,3
93,2025-01-08,2025,1,2,P003,Data Connector Plus,0,East,Offline,22,153.03,3366.66,1306.8,2059.86,308,4
94,2025-01-08,2025,1,2,P001,Analytics Suite,0,West,Online,10,513.97,5139.7,1988.4,3151.3,130,2
95,2025-01-08,2025,1,2,P002,Dashboard Pro,0,West,Online,13,290.59,3777.67,1443.26,2334.41,182,2
96,2025-01-08,2025,1,2,P003,Data Connector Plus,0,West,Offline,21,150.51,3160.71,1347.99,1812.72,189,4
97,2025-01-09,2025,1,2,P001,Analytics Suite,0,North,Partner,9,502.17,4519.53,1769.22,2750.31,117,2
98,2025-01-09,2025,1,2,P002,Dashboard Pro,0,North,Online,17,291.97,4963.49,2171.92,2791.57,170,4
99,2025-01-09,2025,1,2,P003,Data Connector Plus,0,North,Online,23,152.95,3517.85,1579.64,1938.21,276,5
100,2025-01-09,2025,1,2,P001,Analytics Suite,0,South,Partner,9,507.16,4564.44,2102.13,2462.31,108,2
101,2025-01-09,2025,1,2,P002,Dashboard Pro,0,South,Offline,15,290.77,4361.55,1819.05,2542.5,195,3
102,2025-01-09,2025,1,2,P003,Data Connector Plus,0,South,Offline,22,152.13,3346.86,1416.8,1930.06,176,4
103,2025-01-09,2025,1,2,P001,Analytics Suite,0,East,Online,11,497.79,5475.69,2482.59,2993.1,99,3
104,2025-01-09,2025,1,2,P002,Dashboard Pro,0,East,Offline,14,304.53,4263.42,1818.32,2445.1,154,3
105,2025-01-09,2025,1,2,P003,Data Connector Plus,0,East,Online,24,147.41,3537.84,1443.12,2094.72,192,5
106,2025-01-09,2025,1,2,P001,Analytics Suite,0,West,Offline,10,501.09,5010.9,1918.5,3092.4,100,2
107,2025-01-09,2025,1,2,P002,Dashboard Pro,0,West,Offline,14,293.84,4113.76,1678.32,2435.44,140,3
108,2025-01-09,2025,1,2,P003,Data Connector Plus,0,West,Offline,25,149.5,3737.5,1452.25,2285.25,225,6
109,2025-01-10,2025,1,2,P001,Analytics Suite,0,North,Offline,10,506.73,5067.3,2286.3,2781.0,130,2
110,2025-01-10,2025,1,2,P002,Dashboard Pro,0,North,Online,13,295.31,3839.03,1576.38,2262.65,117,3
111,2025-01-10,2025,1,2,P003,Data Connector Plus,0,North,Offline,23,149.28,3433.44,1493.62,1939.82,299,4
112,2025-01-10,2025,1,2,P001,Analytics Suite,0,South,Online,10,493.21,4932.1,1969.2,2962.9,130,1
113,2025-01-10,2025,1,2,P002,Dashboard Pro,0,South,Online,15,303.7,4555.5,2067.6,2487.9,135,3
114,2025-01-10,2025,1,2,P003,Data Connector Plus,0,South,Offline,24,151.33,3631.92,1682.64,1949.28,192,5
115,2025-01-10,2025,1,2,P001,Analytics Suite,0,East,Offline,9,493.08,4437.72,1808.1,2629.62,81,2
116,2025-01-10,2025,1,2,P002,Dashboard Pro,0,East,Online,15,302.54,4538.1,2066.1,2472.0,210,2
117,2025-01-10,2025,1,2,P003,Data Connector Plus,0,East,Offline,21,147.07,3088.47,1230.6,1857.87,210,3
118,2025-01-10,2025,1,2,P001,Analytics Suite,0,West,Offline,11,498.33,5481.63,2352.57,3129.06,121,2
119,2025-01-10,2025,1,2,P002,Dashboard Pro,0,West,Offline,15,292.75,4391.25,1706.1,2685.15,150,3
120,2025-01-10,2025,1,2,P003,Data Connector Plus,0,West,Offline,24,148.25,3558.0,1432.32,2125.68,288,5
121,2025-01-11,2025,1,2,P001,Analytics Suite,0,North,Partner,6,497.29,2983.74,1224.96,1758.78,66,1
122,2025-01-11,2025,1,2,P002,Dashboard Pro,0,North,Partner,10,303.31,3033.1,1342.3,1690.8,90,2
123,2025-01-11,2025,1,2,P003,Data Connector Plus,0,North,Offline,13,146.67,1906.71,725.01,1181.7,117,2
124,2025-01-11,2025,1,2,P001,Analytics Suite,0,South,Online,6,492.75,2956.5,1207.08,1749.42,78,1
125,2025-01-11,2025,1,2,P002,Dashboard Pro,0,South,Online,8,294.22,2353.76,1041.52,1312.24,112,1
126,2025-01-11,2025,1,2,P003,Data Connector Plus,0,South,Offline,17,148.33,2521.61,995.86,1525.75,221,3
127,2025-01-11,2025,1,2,P001,Analytics Suite,0,East,Offline,6,485.82,2914.92,1326.0,1588.92,72,1
128,2025-01-11,2025,1,2,P002,Dashboard Pro,0,East,Offline,9,292.26,2630.34,1105.38,1524.96,117,1
129,2025-01-11,2025,1,2,P003,Data Connector Plus,0,East,Offline,15,148.44,2226.6,1009.65,1216.95,165,3
130,2025-01-11,2025,1,2,P001,Analytics Suite,0,West,Offline,5,490.88,2454.4,1073.85,1380.55,70,1
131,2025-01-11,2025,1,2,P002,Dashboard Pro,0,West,Online,11,302.09,3322.99,1516.35,1806.64,88,2
132,2025-01-11,2025,1,2,P003,Data Connector Plus,0,West,Online,15,148.48,2227.2,943.35,1283.85,180,3
133,2025-01-12,2025,1,2,P001,Analytics Suite,0,North,Online,7,498.1,3486.7,1558.62,1928.08,70,1
134,2025-01-12,2025,1,2,P002,Dashboard Pro,0,North,Online,9,302.47,2722.23,1255.95,1466.28,99,2
135,2025-01-12,2025,1,2,P003,Data Connector Plus,0,North,Online,15,147.34,2210.1,929.1,1281.0,210,3
136,2025-01-12,2025,1,2,P001,Analytics Suite,0,South,Offline,7,503.72,3526.04,1358.98,2167.06,77,1
137,2025-01-12,2025,1,2,P002,Dashboard Pro,0,South,Offline,10,298.97,2989.7,1196.9,1792.8,80,2
138,2025-01-12,2025,1,2,P003,Data Connector Plus,0,South,Offline,17,148.45,2523.65,966.28,1557.37,136,4
139,2025-01-12,2025,1,2,P001,Analytics Suite,0,East,Online,7,505.28,3536.96,1539.37,1997.59,56,1
140,2025-01-12,2025,1,2,P002,Dashboard Pro,0,East,Offline,11,306.41,3370.51,1499.08,1871.43,88,2
141,2025-01-12,2025,1,2,P003,Data Connector Plus,0,East,Offline,17,147.14,2501.38,1159.4,1341.98,187,4
142,2025-01-12,2025,1,2,P001,Analytics Suite,0,West,Online,6,500.53,3003.18,1293.84,1709.34,72,1
143,2025-01-12,2025,1,2,P002,Dashboard Pro,0,West,Offline,10,294.99,2949.9,1221.2,1728.7,110,2
144,2025-01-12,2025,1,2,P003,Data Connector Plus,0,West,Offline,14,144.55,2023.7,887.74,1135.96,196,3
145,2025-01-13,2025,1,3,P001,Analytics Suite,0,North,Offline,10,488.48,4884.8,2018.6,2866.2,100,2
146,2025-01-13,2025,1,3,P002,Dashboard Pro,0,North,Partner,14,306.77,4294.78,1734.6,2560.18,182,3
147,2025-01-13,2025,1,3,P003,Data Connector Plus,0,North,Online,25,148.2,3705.0,1669.25,2035.75,275,6
148,2025-01-13,2025,1,3,P001,Analytics Suite,0,South,Offline,9,503.9,4535.1,1947.96,2587.14,81,1
149,2025-01-13,2025,1,3,P002,Dashboard Pro,0,South,Partner,15,300.62,4509.3,2094.6,2414.7,210,2
150,2025-01-13,2025,1,3,P003,Data Connector Plus,0,South,Online,26,144.67,3761.42,1675.7,2085.72,364,5
151,2025-01-13,2025,1,3,P001,Analytics Suite,0,East,Online,10,513.05,5130.5,2153.5,2977.0,130,1
152,2025-01-13,2025,1,3,P002,Dashboard Pro,0,East,Offline,14,302.13,4229.82,1872.5,2357.32,140,3
153,2025-01-13,2025,1,3,P003,Data Connector Plus,0,East,Offline,23,149.37,3435.51,1522.37,1913.14,207,6
154,2025-01-13,2025,1,3,P001,Analytics Suite,0,West,Offline,11,506.39,5570.29,2540.23,3030.06,88,2
155,2025-01-13,2025,1,3,P002,Dashboard Pro,0,West,Online,13,293.01,3809.13,1464.97,2344.16,104,3
156,2025-01-13,2025,1,3,P003,Data Connector Plus,0,West,Online,22,147.88,3253.36,1370.38,1882.98,264,5
157,2025-01-14,2025,1,3,P001,Analytics Suite,0,North,Offline,9,489.27,4403.43,1946.16,2457.27,99,1
158,2025-01-14,2025,1,3,P002,Dashboard Pro,0,North,Offline,16,292.6,4681.6,1994.24,2687.36,160,3
159,2025-01-14,2025,1,3,P003,Data Connector Plus,0,North,Online,26,148.69,3865.94,1530.1,2335.84,312,5
160,2025-01-14,2025,1,3,P001,Analytics Suite,0,South,Offline,9,501.62,4514.58,2027.16,2487.42,99,2
161,2025-01-14,2025,1,3,P002,Dashboard Pro,0,South,Partner,14,307.96,4311.44,1740.62,2570.82,112,3
162,2025-01-14,2025,1,3,P003,Data Connector Plus,0,South,Online,24,153.4,3681.6,1641.36,2040.24,336,4
163,2025-01-14,2025,1,3,P001,Analytics Suite,0,East,Offline,10,504.56,5045.6,2376.8,2668.8,80,2
164,2025-01-14,2025,1,3,P002,Dashboard Pro,0,East,Offline,16,306.23,4899.68,2159.36,2740.32,144,3
165,2025-01-14,2025,1,3,P003,Data Connector Plus,0,East,Offline,24,150.08,3601.92,1645.2,1956.72,312,5
166,2025-01-14,2025,1,3,P001,Analytics Suite,0,West,Offline,9,486.94,4382.46,1800.72,2581.74,72,2
167,2025-01-14,2025,1,3,P002,Dashboard Pro,0,West,Online,15,303.17,4547.55,1876.65,2670.9,150,3
168,2025-01-14,2025,1,3,P003,Data Connector Plus,0,West,Partner,22,151.56,3334.32,1444.08,1890.24,220,5
169,2025-01-15,2025,1,3,P001,Analytics Suite,0,North,Offline,11,491.72,5408.92,2578.62,2830.3,121,2
170,2025-01-15,2025,1,3,P002,Dashboard Pro,0,North,Offline,16,304.46,4871.36,1919.68,2951.68,128,4
171,2025-01-15,2025,1,3,P003,Data Connector Plus,0,North,Partner,25,151.0,3775.0,1738.25,2036.75,350,5
172,2025-01-15,2025,1,3,P001,Analytics Suite,0,South,Offline,10,484.45,4844.5,2019.5,2825.0,110,2
173,2025-01-15,2025,1,3,P002,Dashboard Pro,0,South,Offline,14,296.87,4156.18,1624.42,2531.76,140,2
174,2025-01-15,2025,1,3,P003,Data Connector Plus,0,South,Offline,21,152.44,3201.24,1287.3,1913.94,252,3
175,2025-01-15,2025,1,3,P001,Analytics Suite,0,East,Online,10,511.26,5112.6,2002.4,3110.2,110,1
176,2025-01-15,2025,1,3,P002,Dashboard Pro,0,East,Online,13,307.9,4002.7,1876.16,2126.54,117,2
177,2025-01-15,2025,1,3,P003,Data Connector Plus,0,East,Offline,23,150.52,3461.96,1460.73,2001.23,276,5
178,2025-01-15,2025,1,3,P001,Analytics Suite,0,West,Online,9,496.45,4468.05,1972.98,2495.07,99,2
179,2025-01-15,2025,1,3,P002,Dashboard Pro,0,West,Online,14,302.41,4233.74,2011.24,2222.5,154,3
180,2025-01-15,2025,1,3,P003,Data Connector Plus,0,West,Offline,21,150.66,3163.86,1315.65,1848.21,273,4
181,2025-01-16,2025,1,3,P001,Analytics Suite,0,North,Partner,9,487.69,4389.21,1708.11,2681.1,99,1
182,2025-01-16,2025,1,3,P002,Dashboard Pro,0,North,Online,15,307.45,4611.75,1864.8,2746.95,150,2
183,2025-01-16,2025,1,3,P003,Data Connector Plus,0,North,Offline,24,145.14,3483.36,1527.84,1955.52,216,6
184,2025-01-16,2025,1,3,P001,Analytics Suite,0,South,Offline,9,507.21,4564.89,1735.92,2828.97,108,2
185,2025-01-16,2025,1,3,P002,Dashboard Pro,0,South,Online,13,292.36,3800.68,1486.03,2314.65,117,3
186,2025-01-16,2025,1,3,P003,Data Connector Plus,0,South,Offline,21,147.73,3102.33,1279.32,1823.01,252,4
187,2025-01-16,2025,1,3,P001,Analytics Suite,0,East,Offline,9,506.24,4556.16,1760.31,2795.85,117,2
188,2025-01-16,2025,1,3,P002,Dashboard Pro,0,East,Offline,14,300.68,4209.52,1997.66,2211.86,126,2
189,2025-01-16,2025,1,3,P003,Data Connector Plus,0,East,Offline,25,152.28,3807.0,1691.5,2115.5,275,4
190,2025-01-16,2025,1,3,P001,Analytics Suite,0,West,Offline,11,509.4,5603.4,2404.05,3199.35,88,2
191,2025-01-16,2025,1,3,P002,Dashboard Pro,0,West,Offline,13,291.48,3789.24,1487.72,2301.52,104,3
192,2025-01-16,2025,1,3,P003,Data Connector Plus,0,West,Online,24,150.9,3621.6,1568.4,2053.2,288,5
193,2025-01-17,2025,1,3,P001,Analytics Suite,0,North,Offline,10,487.0,4870.0,2169.4,2700.6,140,2
194,2025-01-17,2025,1,3,P002,Dashboard Pro,0,North,Offline,15,305.56,4583.4,1931.4,2652.0,135,3
195,2025-01-17,2025,1,3,P003,Data Connector Plus,0,North,Online,23,151.05,3474.15,1551.35,1922.8,230,5
196,2025-01-17,2025,1,3,P001,Analytics Suite,0,South,Online,9,511.66,4604.94,1789.2,2815.74,126,2
197,2025-01-17,2025,1,3,P002,Dashboard Pro,0,South,Online,16,296.72,4747.52,2082.56,2664.96,128,3
198,2025-01-17,2025,1,3,P003,Data Connector Plus,0,South,Online,22,145.62,3203.64,1518.88,1684.76,286,4
199,2025-01-17,2025,1,3,P001,Analytics Suite,0,East,Online,11,485.57,5341.27,2217.49,3123.78,110,2
200,2025-01-17,2025,1,3,P002,Dashboard Pro,0,East,Online,14,301.81,4225.34,1753.5,2471.84,112,3
201,2025-01-17,2025,1,3,P003,Data Connector Plus,0,East,Online,21,147.02,3087.42,1434.09,1653.33,231,5
202,2025-01-17,2025,1,3,P001,Analytics Suite,0,West,Offline,10,502.4,5024.0,2215.1,2808.9,80,2
203,2025-01-17,2025,1,3,P002,Dashboard Pro,0,West,Online,16,290.55,4648.8,1910.24,2738.56,224,3
204,2025-01-17,2025,1,3,P003,Data Connector Plus,0,West,Offline,20,152.31,3046.2,1178.8,1867.4,220,5
205,2025-01-18,2025,1,3,P001,Analytics Suite,0,North,Offline,7,486.78,3407.46,1437.87,1969.59,77,1
206,2025-01-18,2025,1,3,P002,Dashboard Pro,0,North,Offline,9,302.98,2726.82,1198.8,1528.02,108,2
207,2025-01-18,2025,1,3,P003,Data Connector Plus,0,North,Online,14,151.27,2117.78,862.4,1255.38,112,3
208,2025-01-18,2025,1,3,P001,Analytics Suite,0,South,Online,6,497.26,2983.56,1286.64,1696.92,84,1
209,2025-01-18,2025,1,3,P002,Dashboard Pro,0,South,Offline,9,302.2,2719.8,1215.0,1504.8,108,1
210,2025-01-18,2025,1,3,P003,Data Connector Plus,0,South,Online,15,149.89,2248.35,1066.95,1181.4,150,3
211,2025-01-18,2025,1,3,P001,Analytics Suite,0,East,Online,7,492.7,3448.9,1568.21,1880.69,77,1
212,2025-01-18,2025,1,3,P002,Dashboard Pro,0,East,Offline,9,302.65,2723.85,1217.07,1506.78,126,1
213,2025-01-18,2025,1,3,P003,Data Connector Plus,0,East,Offline,15,151.16,2267.4,1070.55,1196.85,165,3
214,2025-01-18,2025,1,3,P001,Analytics Suite,0,West,Offline,6,501.2,3007.2,1229.82,1777.38,66,1
215,2025-01-18,2025,1,3,P002,Dashboard Pro,0,West,Partner,11,293.11,3224.21,1493.47,1730.74,121,2
216,2025-01-18,2025,1,3,P003,Data Connector Plus,0,West,Online,13,152.08,1977.04,830.44,1146.6,156,2
217,2025-01-19,2025,1,3,P001,Analytics Suite,0,North,Online,7,506.36,3544.52,1406.51,2138.01,98,1
218,2025-01-19,2025,1,3,P002,Dashboard Pro,0,North,Partner,9,299.18,2692.62,1117.71,1574.91,90,2
219,2025-01-19,2025,1,3,P003,Data Connector Plus,0,North,Online,16,145.85,2333.6,932.8,1400.8,160,3
220,2025-01-19,2025,1,3,P001,Analytics Suite,0,South,Online,7,503.66,3525.62,1561.14,1964.48,98,1
221,2025-01-19,2025,1,3,P002,Dashboard Pro,0,South,Offline,10,300.43,3004.3,1334.8,1669.5,120,2
222,2025-01-19,2025,1,3,P003,Data Connector Plus,0,South,Online,14,153.21,2144.94,829.78,1315.16,154,3
223,2025-01-19,2025,1,3,P001,Analytics Suite,0,East,Online,6,492.25,2953.5,1144.26,1809.24,72,1
224,2025-01-19,2025,1,3,P002,Dashboard Pro,0,East,Online,8,296.65,2373.2,1106.88,1266.32,104,2
225,2025-01-19,2025,1,3,P003,Data Connector Plus,0,East,Offline,15,149.06,2235.9,1063.05,1172.85,180,3
226,2025-01-19,2025,1,3,P001,Analytics Suite,0,West,Offline,5,511.25,2556.25,1053.55,1502.7,45,1
227,2025-01-19,2025,1,3,P002,Dashboard Pro,0,West,Online,9,291.14,2620.26,1085.67,1534.59,126,2
228,2025-01-19,2025,1,3,P003,Data Connector Plus,0,West,Online,15,146.07,2191.05,1049.7,1141.35,165,3
229,2025-01-20,2025,1,4,P001,Analytics Suite,0,North,Partner,10,494.93,4949.3,2083.0,2866.3,110,2
230,2025-01-20,2025,1,4,P002,Dashboard Pro,0,North,Offline,15,304.19,4562.85,1884.3,2678.55,120,3
