week_start,week_end,year,week_num,month,channel,spend_usd,impressions,clicks,ctr_pct
2025-11-12,2025-11-18,2025,46,11,Partner,7440.69,677290,22567,3.332
2025-11-19,2025-11-25,2025,47,11,Online,20602.85,2403453,75563,3.144
2025-11-19,2025-11-25,2025,47,11,Offline,13741.2,1479855,43604,2.947
2025-11-19,2025-11-25,2025,47,11,Partner,7069.96,813776,19265,2.367
2025-11-26,2025-12-02,2025,48,11,Online,19805.99,2098843,49242,2.346
2025-11-26,2025-12-02,2025,48,11,Offline,14610.49,1747001,53665,3.072
2025-11-26,2025-12-02,2025,48,11,Partner,6628.86,739800,17674,2.389
2025-12-03,2025-12-09,2025,49,12,Online,21197.65,2304969,65608,2.846
2025-12-03,2025-12-09,2025,49,12,Offline,14957.56,1621597,33758,2.082
2025-12-03,2025-12-09,2025,49,12,Partner,6948.04,688941,13724,1.992
2025-12-10,2025-12-16,2025,50,12,Online,22562.7,2084604,47860,2.296
2025-12-10,2025-12-16,2025,50,12,Offline,15416.43,1734990,56323,3.246
2025-12-10,2025-12-16,2025,50,12,Partner,6731.04,783711,16606,2.119
2025-12-17,2025-12-23,2025,51,12,Online,21456.87,2410339,68488,2.841
2025-12-17,2025-12-23,2025,51,12,Offline,13777.39,1385245,34913,2.52
2025-12-17,2025-12-23,2025,51,12,Partner,7489.84,831031,25857,3.111
2025-12-24,2025-12-30,2025,52,12,Online,22245.33,2239105,60614,2.707
2025-12-24,2025-12-30,2025,52,12,Offline,14961.12,1743237,54111,3.104
2025-12-24,2025-12-30,2025,52,12,Partner,6629.53,686532,16366,2.384
2025-12-31,2025-12-31,2026,1,12,Online,22522.14,2551571,65786,2.578
2025-12-31,2025-12-31,2026,1,12,Offline,14627.43,1267100,30630,2.417
2025-12-31,2025-12-31,2026,1,12,Partner,6967.61,768705,20582,2.677
